"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Jun 28 20:37:46 GMT 2022","Tue Jun 28 20:37:49 GMT 2022","3451","","TestRoxo","","TestRoxo","LogoutTest","Logout",""
"passed","Tue Jun 28 20:37:23 GMT 2022","Tue Jun 28 20:37:24 GMT 2022","1900","","TestRoxo","","TestRoxo","DataListTest","Listing data",""
"passed","Tue Jun 28 20:37:49 GMT 2022","Tue Jun 28 20:37:51 GMT 2022","1835","","TestRoxo","","TestRoxo","SaveDataTest","Save data to file",""
"passed","Tue Jun 28 20:37:21 GMT 2022","Tue Jun 28 20:37:22 GMT 2022","1750","","TestRoxo","","TestRoxo","RegisterTest","Registration",""
"passed","Tue Jun 28 20:37:28 GMT 2022","Tue Jun 28 20:37:34 GMT 2022","6580","","TestRoxo","","TestRoxo","RewriteDataTest","Modify and delete data",""
"passed","Tue Jun 28 20:37:24 GMT 2022","Tue Jun 28 20:37:26 GMT 2022","1341","","TestRoxo","","TestRoxo","ReadFromFileTest","Read from file1",""
"passed","Tue Jun 28 20:37:34 GMT 2022","Tue Jun 28 20:37:41 GMT 2022","6524","","TestRoxo","","TestRoxo","RegUsersTest","Register more users from file",""
"passed","Tue Jun 28 20:37:41 GMT 2022","Tue Jun 28 20:37:42 GMT 2022","1295","","TestRoxo","","TestRoxo","LoginTest","Login",""
"passed","Tue Jun 28 20:37:42 GMT 2022","Tue Jun 28 20:37:46 GMT 2022","4035","","TestRoxo","","TestRoxo","InputNewDataTest","Input new data",""
"passed","Tue Jun 28 20:37:26 GMT 2022","Tue Jun 28 20:37:27 GMT 2022","1746","","TestRoxo","","TestRoxo","PagingTest","Getting through multi-pages list",""
